Dataset,Input Length,Data Quality,Model,AUROC
VitalDB,60s,HighQual,Baseline,0.90047
VitalDB,60s,HighQual,DI,0.90129
VitalDB,60s,HighQual,DI_D,0.90131
VitalDB,60s,HighQual,DI_A,0.89833
VitalDB,60s,HighQual,HIVAE,0.89884
VitalDB,60s,HighQual,GPVAE,0.90113
VitalDB,60s,HighQual,SNM,0.89684
VitalDB,60s,HighQual,BDC,0.90227
VitalDB,60s,LowQual,Baseline,0.67431
VitalDB,60s,LowQual,DI,0.80157
VitalDB,60s,LowQual,DI_D,0.79411
VitalDB,60s,LowQual,DI_A,0.80205
VitalDB,60s,LowQual,HIVAE,0.75426
VitalDB,60s,LowQual,GPVAE,0.74035
VitalDB,60s,LowQual,SNM,0.8015
VitalDB,60s,LowQual,BDC,0.74657
