Dataset,Input Length,Data Quality,Model,AUROC
MIMIC3,90s,HighQual,Baseline,0.982384
MIMIC3,90s,HighQual,DI,0.98192
MIMIC3,90s,HighQual,DI_D,0.982784
MIMIC3,90s,HighQual,DI_A,0.9832
MIMIC3,90s,HighQual,HIVAE,0.983136
MIMIC3,90s,HighQual,GPVAE,0.983072
MIMIC3,90s,HighQual,SNM,0.984896
MIMIC3,90s,HighQual,BDC,0.983168
MIMIC3,90s,LowQual,Baseline,0.935395408
MIMIC3,90s,LowQual,DI,0.981645408
MIMIC3,90s,LowQual,DI_D,0.978367347
MIMIC3,90s,LowQual,DI_A,0.988890306
MIMIC3,90s,LowQual,HIVAE,0.95125
MIMIC3,90s,LowQual,GPVAE,0.944107143
MIMIC3,90s,LowQual,SNM,0.987219388
MIMIC3,90s,LowQual,BDC,0.943086735
