Dataset,Input Length,Data Quality,Model,AUROC
VitalDB,30s,HighQual,Baseline,0.90385
VitalDB,30s,HighQual,DI,0.90624
VitalDB,30s,HighQual,DI_D,0.90636
VitalDB,30s,HighQual,DI_A,0.90561
VitalDB,30s,HighQual,HIVAE,0.90359
VitalDB,30s,HighQual,GPVAE,0.90602
VitalDB,30s,HighQual,SNM,0.90332
VitalDB,30s,HighQual,BDC,0.90612
VitalDB,30s,LowQual,Baseline,0.66102
VitalDB,30s,LowQual,DI,0.80939
VitalDB,30s,LowQual,DI_D,0.8057
VitalDB,30s,LowQual,DI_A,0.80549
VitalDB,30s,LowQual,HIVAE,0.76745
VitalDB,30s,LowQual,GPVAE,0.75655
VitalDB,30s,LowQual,SNM,0.80396
VitalDB,30s,LowQual,BDC,0.75563
