Dataset,Input Length,Data Quality,Model,AUROC
MIMIC3,30s,HighQual,Baseline,0.93124
MIMIC3,30s,HighQual,DI,0.94023
MIMIC3,30s,HighQual,DI_D,0.93238
MIMIC3,30s,HighQual,DI_A,0.93608
MIMIC3,30s,HighQual,HIVAE,0.92816
MIMIC3,30s,HighQual,GPVAE,0.92878
MIMIC3,30s,HighQual,SNM,0.93134
MIMIC3,30s,HighQual,BDC,0.92212
MIMIC3,30s,LowQual,Baseline,0.86522
MIMIC3,30s,LowQual,DI,0.8488
MIMIC3,30s,LowQual,DI_D,0.84582
MIMIC3,30s,LowQual,DI_A,0.83987
MIMIC3,30s,LowQual,HIVAE,0.8616
MIMIC3,30s,LowQual,GPVAE,0.85979
MIMIC3,30s,LowQual,SNM,0.83636
MIMIC3,30s,LowQual,BDC,0.86071
