Model,MAE,MKLD
Baseline,21.32664967689281,0.046502282139434824
DA,24.387208739168578,0.03787963563215675
DA_D,21.730886297926652,0.04787514143785253
DA_A,23.60715128634742,0.044560570437299454
HIVAE,21.624858807186378,0.04392370446464474
GPVAE,22.584215549831708,0.04886180432533178
SNM,22.610240122187104,0.04794625491546988
BDC,21.6613633179915,0.05820518007806434
