Model Type,MSE,MAE,MRE,MKLD
DA,14.63415213120553,2.4536486756346707,0.06510097355730428,0.007624365060876699
DA_D,40.338576204112805,3.660517719652956,0.09670916824501255,0.010176240064121583
DA_A,16.268139356338583,2.5829339620758036,0.06718537987837438,0.014099144765525286
HIVAE,196.17469880126004,8.502039582880581,0.23111070907008324,0.10428756921406732
GPVAE,204.5276417907435,8.574490434624428,0.23300895584943632,0.10874630455114476
SNM,23.629812980743264,3.3484430442356063,0.08945728630463137,0.023243486184418634
BDC,220.29140358731584,8.631555889333628,0.23254985954869298,0.11986529602972149
