Model Type,Artifact Type,MSE,MAE,MRE,MKLD
DI,high_qual,0.7639406005214434,0.5007287983387708,0.005889377504552249,4.0078579487923147e-05
DI_D,high_qual,1.0833007681816815,0.7091917335174978,0.007955478311286424,0.00010156620123577928
DI_A,high_qual,6.199235825302079,1.7721308177802713,0.019588751636742383,0.0006588924035881501
HIVAE,high_qual,12.459378861251473,2.554260259986669,0.027601555725943763,0.001192460109193811
GPVAE,high_qual,10.656175798644126,2.3946039054349066,0.02627118830148829,0.0011934299187457333
SNM,high_qual,67.04445193586051,4.969480390942096,0.05432131849591387,0.008905973232158686
BDC,high_qual,4.523437119401247,1.5626788665384055,0.017219742076133842,0.000553541314219593
DI,satmax,59.408562719221415,4.43176724942401,0.048599329165765086,0.00505922840845549
DI_D,satmax,59.08764550410658,4.050743591867387,0.0443195826629526,0.004326754798041478
DI_A,satmax,132.64429977354706,7.126196398045868,0.08015764064078684,0.008435916618884607
HIVAE,satmax,3587.4836397639274,53.70951186424494,0.677585824720189,0.1284875114280965
GPVAE,satmax,4337.618932288861,59.207329232865575,0.7385108037716942,0.12721287781466298
SNM,satmax,67.04488755630553,4.9695097235158086,0.05432152332839323,0.008906058643817173
BDC,satmax,4359.012234770387,60.756094448409975,0.7633341663718631,0.13970464695239163
DI,satmin,58.39026948309317,4.390430022390932,0.047388540814560835,0.005010727873105436
DI_D,satmin,56.81078389404118,4.0140514921143655,0.04330268108331366,0.004223293015051739
DI_A,satmin,98.28148049518019,6.3813565428413455,0.0725125481099356,0.007194355413644405
HIVAE,satmin,772.948890117538,20.4413253785491,0.20496476033204236,0.07392731739575796
GPVAE,satmin,802.0894784050226,21.402981302002072,0.21731213185505477,0.06280745743566367
SNM,satmin,67.04370726631582,4.969452066962421,0.05432091875893529,0.008906025510912748
BDC,satmin,1006.3621010176659,24.553597510546446,0.24654460715204476,0.11893469080376914
DI,reduced,21.292642554922356,3.2733281568435952,0.0356937215808779,0.001689593565890269
DI_D,reduced,14.992023891037702,2.633540803477913,0.02818263266837748,0.0006409525752717093
DI_A,reduced,10.529410325665028,2.335678446503729,0.025733103899506386,0.0010333017688529307
HIVAE,reduced,97.61631715174616,7.053656969027221,0.07445355643559014,0.006344348784190893
GPVAE,reduced,94.84866524098665,7.333535755948723,0.07915238650509855,0.004294892069161587
SNM,reduced,67.04402326979637,4.969487989002467,0.05432136384573532,0.008905800621517359
BDC,reduced,186.45854587280303,9.65402343685329,0.0964279460312915,0.016505374090895027
DI,highfreq,14.431020800456405,2.7351567202605307,0.030364944320340873,0.001502123229335457
DI_D,highfreq,8.471039922243357,2.069913823684305,0.02296659563771682,0.000769756257403138
DI_A,highfreq,13.884143617101014,2.679175331762433,0.029848515981060336,0.0017021434360942375
HIVAE,highfreq,15.49311451984644,2.8743893860667944,0.03126712824720889,0.0015075543341248872
GPVAE,highfreq,13.239945515176654,2.6855410541445015,0.029583659208694008,0.0014441450070992734
SNM,highfreq,67.04274191082418,4.969421722279489,0.05432058855367359,0.008905455596361998
BDC,highfreq,9.610576759749652,2.3782656094312666,0.027293433180265128,0.0011037743136502044
DI,impulse,14.040616054209321,2.805814567889273,0.03251870919002103,0.0014553101715665984
DI_D,impulse,6.559674012451619,1.8862577840544283,0.02167824425350409,0.000670093699173811
DI_A,impulse,16.316189209912718,3.0858006879664956,0.03507856617110665,0.0012953995011056505
HIVAE,impulse,88.35519003959894,7.70549779560566,0.08902125956248493,0.007009874075647373
GPVAE,impulse,91.05663936693668,7.850714556965232,0.08978889956816566,0.00737785088689078
SNM,impulse,67.04417353142797,4.969472855709493,0.0543211810806999,0.008905935696643972
BDC,impulse,148.99042583588363,10.280705819526315,0.12010285556605085,0.013834937350566312
DI,incomplete,60.61293256774023,4.461241882386804,0.04867417790061445,0.005115376898462079
DI_D,incomplete,71.40127576206625,4.565876564335078,0.05013479967433959,0.004827516740323134
DI_A,incomplete,118.07092929418981,6.692119126216322,0.0767027199944947,0.008025783466995461
HIVAE,incomplete,339.6481754192233,14.750092338472605,0.16265017140866259,0.15316755592504075
GPVAE,incomplete,313.57146815333965,13.772462344548106,0.14986527587922754,0.1159321979623136
SNM,incomplete,67.04389287210405,4.969442474456131,0.054320831721357536,0.0089057826849561
BDC,incomplete,379.6025042380631,15.183242546987534,0.16287374272674787,0.3315184739677428
