Model Type,Artifact Type,MSE,MAE,MRE,MKLD
DA,high_qual,5.268350709590764,1.6095523825062816,0.04292623823166818,0.003597657963749459
DA_D,high_qual,9.782102717311881,1.8331143348871795,0.04634237313416197,0.005026039950463158
DA_A,high_qual,8.039241539658992,1.8785977879045384,0.04870734041942623,0.008250366351640784
HIVAE,high_qual,2.4744207492841874,1.1414654227999306,0.034346276225707795,0.0017374113951887011
GPVAE,high_qual,1.5081755335580316,0.7087275354497888,0.022396771682058485,0.000797094388481771
SNM,high_qual,23.6299411246221,3.3484259466664392,0.0894607536630181,0.02324460961343531
BDC,high_qual,0.49895097086119194,0.5234886831312571,0.01581449554966679,0.0002481147940166014
DA,satmax,36.17177139465375,3.9658843725592217,0.1048951054964357,0.012657440676806237
DA_D,satmax,97.69792397196595,6.414677425535279,0.17303534488904798,0.01713053385628452
DA_A,satmax,28.62338536574035,3.717803995783987,0.10078138581311545,0.020125735216549336
HIVAE,satmax,964.8248567404816,28.29421376948691,0.8300604491171079,0.18772277260880618
GPVAE,satmax,1027.2276096193523,29.186165279847447,0.8535916054874477,0.1924416224216266
SNM,satmax,23.630016055277235,3.348455276074138,0.0894583427755349,0.023242673722840224
BDC,satmax,1153.8020620396205,31.121013176434317,0.9057833298511724,0.19026164915780505
DA,satmin,21.53668891489056,3.1226074246745235,0.08281315430420384,0.012559829315983753
DA_D,satmin,100.79002659677911,6.652417830058251,0.17752250148807336,0.019169910638549517
DA_A,satmin,25.380476866429692,3.281171033668747,0.08376990817324988,0.0217362290986415
HIVAE,satmin,223.17259727252284,11.238269315640768,0.2632034787443717,0.14312405114166823
GPVAE,satmin,215.13025359997334,10.806400411971593,0.2528705398209317,0.15492967656052908
SNM,satmin,23.629661341297282,3.3484442312485996,0.08945459425405357,0.023242886768899337
BDC,satmin,212.04256707457992,10.716984300082624,0.24618354874933993,0.15425964880721868
DA,reduced,6.8973419696221,1.8450208368985948,0.04911932628439413,0.00507816121146775
DA_D,reduced,11.78547882785314,2.2132287766064453,0.055534620525723805,0.005406321753017769
DA_A,reduced,10.629144484048501,2.114195347377779,0.05390306478523864,0.010870039354715026
HIVAE,reduced,42.74750674101304,4.372257842592202,0.10369578362763952,0.01940602465547716
GPVAE,reduced,41.84281319958649,4.094989755555895,0.09387788832783252,0.022622605224455878
SNM,reduced,23.630167111926205,3.348457968665366,0.08946243053995005,0.023242900491194637
BDC,reduced,37.02920418815754,3.6785841745833814,0.07984704145292941,0.023808253520996088
DA,highfreq,5.813821608339666,1.7107459633310838,0.045612109285890275,0.003949615715357973
DA_D,highfreq,10.490973943937638,2.1523137328193367,0.05585759306194673,0.004847464180721177
DA_A,highfreq,8.39184998385442,1.9319643713792185,0.05007873844497086,0.00849422649418979
HIVAE,highfreq,4.15099688968807,1.5322708852878244,0.044480911991085136,0.0027138466711155826
GPVAE,highfreq,6.819098996529308,1.9842941205946818,0.05644018494919091,0.004129698756399692
SNM,highfreq,23.62953598409393,3.348441671177721,0.0894523559542658,0.023243539387672124
BDC,highfreq,2.8191384889266287,1.3094986007239495,0.03617574546833657,0.0011601495868577406
DA,impulse,8.40266678369499,2.1523885609449667,0.058006373865612845,0.004858332108015987
DA_D,impulse,9.610457482182015,2.154085810228599,0.05756530859909839,0.004472225514875875
DA_A,impulse,9.200033561977715,2.08225497293451,0.0546032063934935,0.008491915021572127
HIVAE,impulse,43.271257702175646,5.646892135372826,0.15477572581503513,0.021166593516478552
GPVAE,impulse,45.22799521222211,5.784029473339501,0.15885964747191325,0.02174761593042133
SNM,impulse,23.630057710464417,3.348446988111409,0.089462074608879,0.02324355023777516
BDC,impulse,42.654813261538074,5.599490583606403,0.15203738414397908,0.019967691942804476
DA,incomplete,18.34842353764688,2.7693411885280206,0.072334507432925,0.010669518434755734
DA_D,incomplete,42.213069888759875,4.203786127435602,0.11110643601703564,0.015181184554939059
DA_A,incomplete,23.612843692660398,3.0745502254818473,0.07845401511912611,0.02072550182136844
HIVAE,incomplete,92.5812555136549,7.288907708983612,0.18721233796963552,0.3541422845097368
GPVAE,incomplete,93.93754637398311,7.456826465612093,0.19302605320667968,0.364555818576099
SNM,incomplete,23.629311537521694,3.3484292277055707,0.08945045233671818,0.023244243069113657
BDC,incomplete,93.19308908752689,7.4718317067734565,0.19200747162542672,0.4493515643983517
